benny blanco, Ryan Beatty	10	0	0	0	0
Mike Shabb	10	0	0	0	0
Mike Shabb, Kevin Na$h	10	0	0	0	0
Mike Shabb, Mtlord	10	0	0	0	0
Mike Shabb, Busy Nasa, Kevin Na$h	10	0	0	0	0
Calboy	10	0	0	0	0
6ixbuzz, Pressa, Houdini	10	0	0	0	0
6ixbuzz, K Money, Money Muzik	10	0	0	0	0
6ixbuzz, French, Archee	10	0	0	0	0
6ixbuzz, Top5, Loco City	10	0	0	0	0
6ixbuzz, Booggz, Smiley_61st	10	0	0	0	0
6ixbuzz, Bizz loc, Roney	10	0	0	0	0
6ixbuzz, K Money, Prince Dawn, Yung Tory	10	0	0	0	0
6ixbuzz, Casper TNG, LB	10	0	0	0	0
6ixbuzz, Big Lean, Safe	10	0	0	0	0
Seezyn	10	0	0	0	0
Jay Portal, DBLCRSS	10	0	0	0	0
DBLCRSS, Jay Portal, LEO.	10	0	0	0	0
Svlm	10	0	0	0	0
Anuel Aa	10	0	0	0	0
Anuel Aa, Zion	10	0	0	0	0
Anuel Aa, Wisin	10	0	0	0	0
Anuel Aa, Ozuna	10	0	0	0	0
Anuel Aa, Nengo Flow	10	0	0	0	0
Nicki Minaj	10	0	0	0	0
Nicki Minaj, Labrinth, Eminem	10	0	0	0	0
Nicki Minaj, Lil Wayne	10	0	0	0	0
Nicki Minaj, Ariana Grande	10	0	0	0	0
Nicki Minaj, The Weeknd	10	0	0	0	0
Nicki Minaj, Swae Lee	10	0	0	0	0
Nicki Minaj, Future	10	0	0	0	0
Nicki Minaj, Foxy Brown	10	0	0	0	0
Flipp Dinero	10	0	0	0	0
Valee, CHASETHEMONEY	10	0	0	0	0
Vic Mensa	10	0	0	0	0
Vic Mensa, Rivers Cuomo	10	0	0	0	0
Vic Mensa, Syd	10	0	0	0	0
Vic Mensa, The Dream	10	0	0	0	0
Vic Mensa, Chief Keef, Joey Purp	10	0	0	0	0
Vic Mensa, Pharrell Williams, Saul Williams	10	0	0	0	0
Vic Mensa, Ty Dolla $ign	10	0	0	0	0
Vic Mensa, Pusha T	10	0	0	0	0
Vic Mensa, Jesse	10	0	0	0	0
Vic Mensa, G Herbo	10	0	0	0	0
Vic Mensa, G-Eazy	10	0	0	0	0
Vic Mensa, Charlie Wilson	10	0	0	0	0
Vic Mensa, Mr Hudson	10	0	0	0	0
Rochester	10	0	0	0	0
Rochester, Staasia Daniels	10	0	0	0	0
Rochester, #Hooks	10	0	0	0	0
Rochester, EMG	10	0	0	0	0
Rochester, Lgiano	10	0	0	0	0
24hrs	10	0	0	0	0
24hrs, Dom Kennedy	10	0	0	0	0
24hrs, Hit-Boy	10	0	0	0	0
24hrs, Dom Kennedy, Ty Dolla $ign	10	0	0	0	0
24hrs, Roy Woods	10	0	0	0	0
24hrs, Moneybagg Yo, Smokepurpp	10	0	0	0	0
24hrs, MadeinTYO	10	0	0	0	0
24hrs, PnB Rock	10	0	0	0	0
24hrs, Jay 305	10	0	0	0	0
24hrs, Vic Mensa	10	0	0	0	0
24hrs, YG	10	0	0	0	0
24hrs, Lil Pump	10	0	0	0	0
Yung Bans	10	0	0	0	0
Yung Bans, SahBabii	10	0	0	0	0
Yung Bans, Lil Skies	10	0	0	0	0
Yung Bans, Landon Cube, YBN Nahmir	10	0	0	0	0
Yung Bans, Juice WRLD	10	0	0	0	0
Yung Bans, Gunna	10	0	0	0	0
Yung Bans, Lil Yachty	10	0	0	0	0
Yung Bans, Wifisfuneral	10	0	0	0	0
Yung Bans, Tracy	10	0	0	0	0
Yung Bans, Lil Xan	10	0	0	0	0
Yung Bans, Jban$2Turnt	10	0	0	0	0
Yung Bans, Yung Weej	10	0	0	0	0
Yung Bans, Rejjie Snow	10	0	0	0	0
Yung Bans, Smokepurpp	10	0	0	0	0
Yung Bans, Che Trill	10	0	0	0	0
Yung Bans, Larry League	10	0	0	0	0
The Chainsmokers	0	0	10	0	0
The Chainsmokers, Emily Warren	0	0	10	0	0
The Chainsmokers, Coldplay	0	0	10	0	0
The Chainsmokers, Louane	0	0	10	0	0
The Chainsmokers, Jhene Aiko	0	0	10	0	0
The Chainsmokers, Florida Georgia Line	0	0	10	0	0
The Chainsmokers, Kelsea Ballerini	0	0	10	0	0
The Chainsmokers, Winona Oak	0	0	10	0	0
The Chainsmokers, Drew Love	0	0	10	0	0
The Chainsmokers, Aazar	0	0	10	0	0
The Chainsmokers, NGHTMRE	0	0	10	0	0
Winona Oak	0	0	10	0	0
Avril Lavigne	0	0	10	0	0
Avril Lavigne, Chad Kroeger	0	0	10	0	0
Avril Lavigne, Marilyn Manson	0	0	10	0	0
Clean Bandit, Jess Glynne	0	0	10	0	0
Clean Bandit, Stylo G	0	0	10	0	0
Clean Bandit, Elisabeth Troy	0	0	10	0	0
Clean Bandit, Sharna Bass	0	0	10	0	0
Clean Bandit, Love Ssega	0	0	10	0	0
Clean Bandit	0	0	10	0	0
Clean Bandit, Rae Morris, Andy Wright, Simon Smith	0	0	10	0	0
Clean Bandit, Nikki Cislyn, Javeon	0	0	10	0	0
Clean Bandit, Noonie Bao	0	0	10	0	0
Clean Bandit, Lizzo	0	0	10	0	0
Clean Bandit, Kandaka Moore, Nikki Cislyn	0	0	10	0	0
Clean Bandit, Zara Larsson	0	0	10	0	0
Clean Bandit, Marina, Luis Fonsi	0	0	10	0	0
Clean Bandit, Demi Lovato	0	0	10	0	0
Clean Bandit, Sean Paul, Anne-Marie	0	0	10	0	0
Clean Bandit, Ellie Goulding	0	0	10	0	0
Clean Bandit, Anne-Marie	0	0	10	0	0
Clean Bandit, KYLE, Big Boi	0	0	10	0	0
Clean Bandit, Tove Styrke, Stefflon Don	0	0	10	0	0
Clean Bandit, Craig David, Kirsten Joy	0	0	10	0	0
Clean Bandit, Rita Ora, KYLE	0	0	10	0	0
Clean Bandit, Julia Michaels	0	0	10	0	0
Clean Bandit, ALMA	0	0	10	0	0
Clean Bandit, Yasmin Green	0	0	10	0	0
Clean Bandit, Charli XCX, Bhad Bhabie	0	0	10	0	0
Clean Bandit, DaVido, Love Ssega	0	0	10	0	0
Clean Bandit, Louisa	0	0	10	0	0
Ellie Goulding	0	0	10	0	0
Calvin Harris, Ellie Goulding	0	0	10	0	0
Major Lazer, Ellie Goulding, Tarrus Riley	0	0	10	0	0
Tyler Shaw	0	0	10	0	0
Tyler Shaw, Amaal Nuux	0	0	10	0	0
Tyler Shaw, TiKA	0	0	10	0	0
Halsey	0	0	10	0	0
Halsey, Quavo	0	0	10	0	0
Halsey, Lauren Jauregui	0	0	10	0	0
Halsey, Cashmere Cat	0	0	10	0	0
OMI, Felix Jaehn	0	0	10	0	0
OMI	0	0	10	0	0
OMI, AronChupa	0	0	10	0	0
OMI, Luca Schreiner	0	0	10	0	0
OMI, Busy Signal	0	0	10	0	0
OMI, Erik Hassle	0	0	10	0	0
OMI, Sarah West	0	0	10	0	0
OMI, Freddy Verano	0	0	10	0	0
OMI, CMC$	0	0	10	0	0
CMC$, Grx, Icona Pop, Seth Hills	0	0	10	0	0
Khalid	0	0	10	0	0
Khalid, Empress Of	0	0	10	0	0
Marshmello	0	0	10	0	0
Omar LinX, Marshmello	0	0	10	0	0
Other People's Heartache, Bastille, Kianja	0	0	10	0	0
Other People's Heartache, Bastille, Kianja, S-X, Craig David	0	0	10	0	0
Seeb, Bastille	0	0	10	0	0
Other People's Heartache, Bastille, Craig David, Kianja, Swarmz	0	0	10	0	0
Other People's Heartache, Bastille, Rationale, James Arthur	0	0	10	0	0
Other People's Heartache, Bastille, Lily Moore, Moss Kena, Jacob Banks	0	0	10	0	0
Other People's Heartache, Bastille, Moss Kena	0	0	10	0	0
Ariana Grande	0	0	10	0	0
Ariana Grande, Nicki Minaj	0	0	10	0	0
Ariana Grande, Lil Wayne	0	0	10	0	0
Ariana Grande, Macy Gray	0	0	10	0	0
Ariana Grande, Future	0	0	10	0	0
Ariana Grande, Pharrell Williams	0	0	10	0	0
Ariana Grande, Missy Elliott	0	0	10	0	0
Vice, Jason Derulo, Ava Max	0	0	10	0	0
Ava Max, Leon Lour	0	0	10	0	0
Ava Max, Morgan Page	0	0	10	0	0
Ava Max, Paul Morrell	0	0	10	0	0
Little Mix	0	0	10	0	0
Little Mix, Nicki Minaj	0	0	10	0	0
Little Mix, Sharaya J	0	0	10	0	0
Little Mix, Kamille	0	0	10	0	0
Cheat Codes, Little Mix	0	0	10	0	0
Kygo	0	0	10	0	0
Kygo, Parson James	0	0	10	0	0
Kygo, Tom Odell	0	0	10	0	0
Kygo, Kodaline	0	0	10	0	0
Kygo, Conrad Sewell	0	0	10	0	0
Kygo, John Legend	0	0	10	0	0
Kygo, James Vincent McMorrow	0	0	10	0	0
Kygo, Foxes	0	0	10	0	0
Kygo, RHODES	0	0	10	0	0
Kygo, Matt Corby	0	0	10	0	0
Kygo, Maty Noyes	0	0	10	0	0
Kygo, Will Heard	0	0	10	0	0
Kygo, Labrinth	0	0	10	0	0
Kygo, Julia Michaels	0	0	10	0	0
Kygo, Angus & Julia Stone	0	0	10	0	0
Kygo, John Newman	0	0	10	0	0
Kygo, Jason Walker	0	0	10	0	0
Kygo, Oliver Nelson, Bonnie McKee	0	0	10	0	0
Kygo, OneRepublic	0	0	10	0	0
Kygo, Wrabel	0	0	10	0	0
Kygo, The Night Game	0	0	10	0	0
Kygo, JHart	0	0	10	0	0
Kygo, Billy Raffoul	0	0	10	0	0
Kygo, Miguel	0	0	10	0	0
Scott Helman	0	0	10	0	0
BLACKPINK	0	0	10	0	0
Dua Lipa	0	0	10	0	0
Dua Lipa, Miguel	0	0	10	0	0
Jonas Blue, Zak Abel	0	0	10	0	0
Jonas Blue, William Singe	0	0	10	0	0
Jonas Blue, JP Cooper	0	0	10	0	0
Jonas Blue, Joe Jonas	0	0	10	0	0
Jonas Blue, Liam Payne, Lennon Stella	0	0	10	0	0
Jonas Blue, Nina Nesbitt	0	0	10	0	0
Jonas Blue, RAYE	0	0	10	0	0
Jonas Blue, Chelcee Grimes, TINI, Jhay Cortez	0	0	10	0	0
Jonas Blue, Jessie Reyez, Juan Magán	0	0	10	0	0
Jonas Blue, Era Istrefi	0	0	10	0	0
Jonas Blue, Jack & Jack	0	0	10	0	0
Jonas Blue, Charlotte OC, Dark Heart	0	0	10	0	0
