1n4jwRVXdkK2U34nBDUKKT	BLOOD.	Kendrick Lamar	DAMN.	118066	Rap	10
6HZILIRieu8S0iqY8kIKhj	DNA.	Kendrick Lamar	DAMN.	185946	Rap	10
4BHSjbYylfOH5WAGusDyni	YAH.	Kendrick Lamar	DAMN.	160293	Rap	10
1EaKU4dMbesXXd3BrLCtYG	ELEMENT.	Kendrick Lamar	DAMN.	208733	Rap	10
2LTlO3NuNVN70lp2ZbVswF	FEEL.	Kendrick Lamar	DAMN.	214826	Rap	10
6SwRhMLwNqEi6alNPVG00n	LOYALTY. FEAT. RIHANNA.	Kendrick Lamar, Rihanna	DAMN.	227360	Rap	10
6IZvVAP7VPPnsGX6bvgkqg	PRIDE.	Kendrick Lamar	DAMN.	275253	Rap	10
7KXjTSCq5nL1LoYtL7XAwS	HUMBLE.	Kendrick Lamar	DAMN.	177000	Rap	10
06FCvd7rrRcF3DdvWH5Isp	LUST.	Kendrick Lamar	DAMN.	307880	Rap	10
6PGoSes0D9eUDeeAafB2As	LOVE. FEAT. ZACARI.	Kendrick Lamar, Zacari	DAMN.	213400	Rap	10
4iYRa2btalAzPZoSYfROqF	XXX. FEAT. U2.	Kendrick Lamar, U2	DAMN.	254200	Rap	10
23luOrEVHMfoX0AhfbQuS6	FEAR.	Kendrick Lamar	DAMN.	460573	Rap	10
5p3NP9mQblDsVJLdfNZJ3I	GOD.	Kendrick Lamar	DAMN.	248826	Rap	10
0y9uTzK9cNKSAEHnpeRG8C	DUCKWORTH.	Kendrick Lamar	DAMN.	248613	Rap	10
7Ks4VCY1wFebnOdJrM13t6	Wesley's Theory	Kendrick Lamar, George Clinton, Thundercat	To Pimp A Butterfly	287360	Rap	10
75izAeHlGuOgA865CFDyIv	For Free? - Interlude	Kendrick Lamar	To Pimp A Butterfly	130893	Rap	10
0N3W5peJUQtI4eyR6GJT5O	King Kunta	Kendrick Lamar	To Pimp A Butterfly	234693	Rap	10
4oFtLSgHyZPNYDCcANhTnO	Institutionalized	Kendrick Lamar, Bilal, Anna Wise, Snoop Dogg	To Pimp A Butterfly	271773	Rap	10
